hip,ra_deg,dec_deg,v_mag,b_v
4675,15.01483029,44.71324291,5.69,-0.010
4709,15.12918650,70.98298844,6.40,0.135
4770,15.32614858,-38.91652735,5.59,1.185
4786,15.36268397,49.54422003,6.48,1.099
4801,15.41101980,-16.26557320,6.47,1.184
4829,15.50758668,-57.00238911,6.12,0.935
4844,15.57693735,51.03493798,6.48,0.122
4852,15.61013832,-31.55200512,5.50,0.083
4879,15.67877774,-65.45610182,6.25,1.634
4889,15.70457184,31.80426290,5.50,-0.043
4890,15.70495781,-46.39731137,5.39,0.900
4903,15.72609450,41.34515741,5.95,0.161
4906,15.73586845,7.89013546,4.27,0.952
4911,15.75644601,47.37615789,6.46,0.248
4914,15.76056716,-4.83660060,5.40,1.106
4932,15.82373101,-29.52584808,6.28,0.932
4962,15.90419046,61.07482263,5.92,0.512
4979,15.95428389,1.36684626,6.06,0.271
4998,16.00995611,52.50216085,5.99,1.447
5021,16.08104573,61.58018388,5.83,0.569
5034,16.11511217,29.65880635,6.20,0.443
5042,16.13573840,-33.53284519,6.44,1.071
5074,16.21932253,5.65626169,6.03,1.525
5081,16.27231523,14.94613348,5.64,0.420
5121,16.40367757,-9.97932270,6.09,1.012
5131,16.42064722,21.47318139,5.33,0.003
5132,16.42379923,21.46544248,5.55,-0.048
5141,16.45512117,4.90837207,6.35,0.383
5164,16.52145155,-9.83935413,5.58,0.009
5165,16.52102840,-46.71841361,3.32,0.885
5170,16.53209824,-23.99245070,6.12,1.076
5175,16.54667055,32.18148534,6.28,1.308
5204,16.64011159,12.95603948,6.14,0.962
5240,16.75072472,56.93497242,6.41,1.188
5251,16.78940869,53.49818511,6.31,1.499
5259,16.80384694,-23.99633362,6.36,0.238
5268,16.82776521,-61.77528929,5.36,0.884
5296,16.94253562,-9.78555038,5.71,0.446
5300,16.94938882,-41.48691608,5.21,0.159
5310,16.98818032,20.73911258,5.56,0.121
5315,16.99860045,1.99304185,6.44,0.847
5317,17.00353724,43.94209203,5.04,0.109
5319,17.00560185,32.01212987,6.23,0.398
5336,17.06830755,54.92033969,5.17,0.704
5346,17.09249309,5.64981907,5.51,0.334
5348,17.09617396,-55.24576016,3.94,-0.120
5361,17.13944471,58.26344926,5.77,-0.019
5364,17.14746490,-10.18226422,3.46,1.161
5372,17.18698865,86.25709041,4.24,1.213
5412,17.30078662,80.01157941,6.24,0.922
5434,17.37552272,47.24179245,4.26,0.012
5447,17.43301493,35.62055770,2.07,1.576
5454,17.45500808,19.65840810,5.57,0.697
5477,17.53072382,-57.69441869,6.41,0.888
5483,17.54767187,15.67391168,6.07,1.535
5485,17.54977946,-8.90613526,6.40,1.029
5493,17.57808507,42.08147491,5.67,0.603
5494,17.58104718,25.45776341,5.81,1.466
5510,17.63980105,2.44566968,5.97,1.491
5518,17.66384307,68.77862080,5.32,-0.014
5542,17.77567508,55.14990064,4.34,0.170
5544,17.77819712,31.42473633,5.15,0.261
5550,17.79282306,37.72412122,5.80,-0.095
5566,17.85654762,64.20267697,5.56,-0.052
5571,17.86341750,21.03465004,4.66,1.024
5575,17.87071779,10.29190822,6.49,0.891
5586,17.91515340,30.08963821,4.51,1.092
5589,17.92250739,65.01885377,5.57,-0.072
5594,17.93128664,-2.25107885,5.93,1.403
5626,18.07008876,79.67396298,5.60,0.008
5650,18.14200550,45.33753089,6.13,1.652
5661,18.18930355,-37.85647867,5.95,0.281
5679,18.24780802,30.06422933,6.24,0.980
5688,18.29105485,61.70618828,6.40,0.018
5737,18.43285720,7.57535376,5.21,0.320
5742,18.43727980,24.58371315,4.67,1.047
5743,18.43860703,7.57826124,6.44,0.492
5772,18.52044620,28.52957493,6.33,1.684
5778,18.53179007,16.13347858,5.97,-0.082
5799,18.60016589,-7.92282573,5.14,0.448
5824,18.67663261,6.99513614,6.04,1.081
5833,18.70488336,-0.97379475,5.70,0.428
5862,18.79633762,-45.53166422,4.97,0.571
5896,18.94233654,-68.87592733,4.25,0.480
5926,19.04957827,71.74384251,5.87,2.042
5928,19.05495872,87.14549616,6.20,1.114
5936,19.07884113,33.11472008,6.04,1.163
5947,19.12865668,79.91001284,6.27,0.440
5951,19.15119996,-2.50036823,5.42,0.888
5992,19.26566029,-66.39785419,6.23,0.052
5993,19.27109903,44.90199225,6.11,1.590
6025,19.35046983,31.74461718,6.36,1.132
6061,19.44981588,3.61446601,5.13,0.071
6087,19.54228558,47.41970605,6.29,1.357
6093,19.55784870,57.80316577,6.39,1.589
6140,19.69587212,37.38627482,6.44,0.233
6193,19.86664622,27.26405858,4.74,0.032
6226,19.95123020,-0.50902871,5.87,0.635
6242,20.02048422,58.23161078,4.95,0.683
6261,20.08083765,77.57068243,6.31,0.912
6272,20.11586496,-11.23899945,6.16,1.102
6283,20.14404995,-3.24698981,6.26,1.013
6312,20.27194492,64.65813095,6.33,0.113
6315,20.28072054,28.73820708,5.23,1.396
6378,20.49627386,76.23880425,6.37,0.283
6411,20.58508262,45.52877782,4.87,1.077
6427,20.62700349,-19.08120763,6.35,0.493
6429,20.64512513,-0.44967302,6.50,1.079
